ID,Project Name - (Value),Alternative Names - (Value),State of Development - (Value),State of Development - Reason for abandoned - (Value),State of Development - (Source ID's),State of Development - (Notes),Stage of Development - (Value),Stage of Development - (Source ID's),Stage of Development - (Notes),Type of instrument and project - Impact Bond - (Value),Type of instrument and project - Outcomes Fund - (Value),Type of instrument and project - Social Impact Incentives (SIINC) - (Value),Type of instrument and project - Social Impact Guarantee - (Value),Type of instrument and project - Payment-by-results (no pre-financing) - (Value),Type of instrument and project - Technical Assistance and Market-building program (Must involve dedicated grant resources) - (Value),Type of instrument and project - Other - (Value),(Source ID's),(Notes),Part of a larger outcomes-based financing program? - Part of a larger outcomes-based financing program? - (Value),Part of a larger outcomes-based financing program? - Details - (Value),Part of a larger outcomes-based financing program? - (Source ID's),Part of a larger outcomes-based financing program? - (Notes),Dates - Expected Launch Date - (Value),Dates - Total expected project development time - (Value),Dates - Expected length of project (years) - (Value),Dates - Project design process began - (Value),Dates - (Source ID's),Dates - (Notes),Rationale for using outcome based finance - (Value),(Source ID's),(Notes),Key challenges to launch - (Value),(Source ID's),(Notes),Role of the domestic government - Outcomes funder - (Value),Role of the domestic government - Service provider - (Value),Role of the domestic government - Member of project committee - (Value),Role of the domestic government - No formal role - (Value),Role of the domestic government - Other - (Value),(Source ID's),(Notes),Service providers identified and selected - Request-for-proposals - (Value),Service providers identified and selected - Direct contracting by outcome funder/investor/intermediary - (Value),Service providers identified and selected - Provider-led deal development - (Value),Service providers identified and selected - Other - (Value),(Source ID's),(Notes),Feasibility study - (Value),(Source ID's),(Notes),Proposed financing instruments - Debt - (Value),Proposed financing instruments - Equity - (Value),Proposed financing instruments - Guarantee - (Value),Proposed financing instruments - Grant - (Value),Proposed financing instruments - Other - (Value),(Source ID's),(Notes),Technical assistance grant - Technical assistance grant - (Value),Technical assistance grant - Details - (Value),Technical assistance grant - (Source ID's),Technical assistance grant - (Notes),Overall project finance - Estimated Maximum potential outcome payment - Currency - (Value),Overall project finance - Estimated Maximum potential outcome payment - Amount - (Value),Overall project finance - (Source ID's),Overall project finance - (Notes),Purpose and classifications - Social/Developmental challenge - (Value),Purpose and classifications - Expected intervention model - (Value),Purpose and classifications - Policy sector - Employment and private sector development - (Value),Purpose and classifications - Policy sector - Education - (Value),Purpose and classifications - Policy sector - Social protection - (Value),Purpose and classifications - Policy sector - Criminal justice - (Value),Purpose and classifications - Policy sector - Health - (Value),Purpose and classifications - Policy sector - Agriculture - (Value),Purpose and classifications - Policy sector - Environment and climate change - (Value),"Purpose and classifications - Policy sector - Water, Sanitation and Hygiene - (Value)",Purpose and classifications - Policy sector - Energy - (Value),Purpose and classifications - Policy sector - Humanitarian - (Value),Purpose and classifications - Policy sector - Early Childhood Education - (Value),Purpose and classifications - Policy sector - Other - (Value),Purpose and classifications - Primary SDG goal - (Value),Purpose and classifications - Secondary SDG goals - (Value),Purpose and classifications - Primary SDG target - (Value),Purpose and classifications - Secondary SDG targets - (Value),Purpose and classifications - (Source ID's),Purpose and classifications - (Notes),Service users and beneficiaries - Target population - (Value),Service users and beneficiaries - Targeted number of unique service users or beneficiaries (total) - (Value),Service users and beneficiaries - Unit type of targeted service users or beneficiaries - (Value),Service users and beneficiaries - Unit description of targeted service user or beneficiaries - (Value),Service users and beneficiaries - Country Classification of Service and beneficiaries - Low-income - (Value),Service users and beneficiaries - Country Classification of Service and beneficiaries - Lower-middle-income - (Value),Service users and beneficiaries - Country Classification of Service and beneficiaries - Upper-middle-income - (Value),Service users and beneficiaries - Country Classification of Service and beneficiaries - High-income - (Value),Service users and beneficiaries - (Source ID's),Service users and beneficiaries - (Notes),Notes - (Value),Delivery Locations - Name,Delivery Locations - Country
INDIGO-PL-0074,Digital Skills Outcomes Fund,,Current,,source1,,Final negotiations,source1,The project has been mobilizing for over 20 months and is in a highly mobilized state between private sector and government,No,Yes,No,No,No,No,,source1,"We are market building together with government and the private sector to scale the pipeline of digital skills. This includes redirecting public, private and donor funding to achieve the scale objectives of the entire country.",Yes,"We are market building together with government and the private sector to scale the pipeline of digital skills. This includes redirecting public, private and donor funding to achieve the scale objectives of the entire country.",source1,,Q4 - 2022,0-6 months,3,,source1,,Digital Jobs is one of the only areas in the South African economy where we have more demand for higher complexity digital jobs than supply. We also have a supply and demand mismatch in terms of what skills are being generated. The outcomes financing is intended to realign and scale what the market requires and to do this inclusively.,source1,,"Challenges in amending government procurement laws to conform with outcomes funding, despite funding being approved by the government.",source1,,Yes,No,Yes,No,,source1,,Yes,No,No,,source1,,Yes,source1,,No,No,No,Yes,,source1,,Yes,,source1,,ZAR,3500000000,source1,USD 212000000,"South Africa has a youth unemployed rate of about 70%. One million youth enter the job market each year, two thirds of which do not find their way into employment, education, or training. In the digital sector, as a result of the supply and demand mismatch, it is estimated that over 80,000 vacancies go unfilled.",Innovative and efficient and demand driven digital skills apprenticeships to transition poor youth into available vacancies.,Yes,Yes,No,No,No,No,No,No,No,No,,,8,"4,17",,,source1,"Scaling the development of digital skills across the economy, which can serve all sectors.","Excluded unemployed individuals that have the right profile for the most in-demand digital entry-level roles. We have mapped the demand requirements for these roles in the South African economy and are looking to stimulate 80,000 new jobs by 2025.",80000,Individual,,No,No,Yes,No,source1,"80,000 beneficiaries by 2025 into higher complexity digital jobs",Data for this pipeline project was last updated in March 2024,South Africa,ZA
INDIGO-PL-0075,Regenerative Outcomes Finance Platform,,Current,,source1,,Early stage,source1,,No,Yes,No,No,No,No,,source1,Outcomes-based finance. Details TBD.,Yes,,source1,,Q1 - 2023,12-24 months,5,Q1-2022,source1,,"Outcomes based financing is being used to help de-risk and accelerate the transition to regenerative agriculture. Outcomes model also allowing for greater focus on ESG reporting, performance management and behavior change.",source1,,,,,No,No,No,Yes,,source1,,No,Yes,No,,source1,,Yes,source1,,No,No,No,No,TBD,source1,,Yes,,source1,,TBD,TBD,source1,,"Solving the global climate crisis must consider the impacts of the global food system on the environment. Transitioning to regenerative food production at scale will require a shift in the practices of both large and small producers and of the Food and Beverage industry. The F&B sector has been particularly ambitious in its commitments to cutting supply chain emissions and Net Zero. A transition of this magnitude requires financing that incents farmers in shifting to regenerative practices. It also demands dynamic learning, outcomes-focused pricing methods, new technologies to capture robust data and the identification of new business opportunities for farmers who become regenerative producers.",Multiple transition pathways to be tested for transitioning to regenerative agriculture based on locally appropriate technology and global best practice.,No,No,No,No,No,Yes,Yes,No,No,No,No,,,"12,13,15",,,source1,,Small and medium sized agriculture producers of key agriculture commodities that are part of supply chains of large food and beverage companies.,TBD,Individual,,Yes,Yes,Yes,Yes,source1,,Data for this pipeline project was last updated in April 2022,Latin America & the Caribbean,
INDIGO-PL-0076,Rwanda Poverty Graduation and Climate Resilience Outcomes Project,,Current,,source1,,Scoping,source1,,Yes,No,No,No,No,No,,source1,,,,,,Q2 - 2023,0-6 months,3,,source1,Expected launch date: Q2-2023 or later,"By tying payment to results, we expect to encourage and provide space for innovation and the highest-quality implementer-led performance management, ensuring multiple service providers can achieve the intended results at scale. It allows implementers to further and better adapt proven solutions to various context, demographics, and populations by putting the people we serve at the programâs center. This has been proven through the success of the Village Enterprise DIB, Africaâs first for poverty alleviation, which exceeded its targets and shielded households from the worst of the Covid-19 pandemicâs economic impacts.",source1,,Outcomes funding,source1,,No,No,No,No,Currently the domestic government is a partner in codesigning the project.,source1,,,,,,,,,,,Yes,No,No,Yes,,source1,,,,,,,,,,"In Rwanda over 6 million people are living in extreme poverty and climate change deepens inequalities as more frequent storms, flooding, drought, and changes in rainfall patterns are impacting the poorest communities the most, making it even more difficult to secure decent livelihoods. The government of Rwanda has adopted a Graduation Policy to eliminate poverty by 2030, but in the context of global funding constraints and varying returns to graduation programming across countries, there is more we must learn about how to most cost effectively graduate households to resilience in the Rwandan context. This outcomes project will incorporate a rigorous, rapid-cycle learning agenda from the onset of the project, and by tying payment to results will provide the flexibility and incentive to iterate, learn, and scale successfully.","Village Enterpriseâs approach to economic inclusion centers around or cost-effective, one-year âPoverty Graduationâ model. We use rigorous targeting to identify rural households living in extreme poverty, provide training around savings, loans, and microenterprise development, establish âBusiness Savings Groupsâ of thirty individuals, provide seed capital grants to start group businesses, and support through mentoring.",No,No,Yes,No,No,No,No,No,No,No,,,1,"1,5,13",,,,,Rural extreme poor households earning less than $1.90/day,54000,Other,Households,Yes,No,No,No,,"Target population: Minimum of 54,000 households and 360,000 direct and indirectly impacted individuals in the first three years.",Data for this pipeline project was last updated in April 2022.,Rwanda,RW
INDIGO-PL-0085,ECCE Rwanda Outcomes Fund,,Current,,source1,,,,,,Yes,,,,,,source1,,,,,,,,4,2023,source1,Expected launch date: 2024,"In Outcomes Funds, payments are made upon the achievement of pre-specified results measured by a third-party evaluator. This ensures that funding is spent to finance measurable results, improving the value-for-money offer and the effectiveness of ECCE spending, and unifying the evidence towards which ECCE programmes in the country oriented. The programme will have a wider set of indirect impact as well, strenghtening the available evidence and capacities of now only GoR, but the wider ECCE ecosystem. ",source1,,,,,Yes,,Yes,,,source1,,Yes,,,Upcoming call for request of Proposals.,source1," -Proposed intervention & Delivery Approach
 -Organisational Delivery Capacity & ECCE Experience
 -Team Capacity & Experience 
 -Data-driven Programme Management Form
 -Local Experience
 -Financial proposal (targets/price)",Yes,source1,Concept development,,,,Yes,,source1,,Yes,,source1,,,,,,"This programme aims to create incentives to grantees to develop adequate and sustainable support strategies for the inclusion of children with developmental delays or disabilities (including improving access and developing caregiversâ and parentsâ capacities), a challenge identified as the primary issue in the ECCE in Rwanda","The programme aims to improve the quality of existing community-based ECDs in rural areas, serving as a crucial stopgap to bridge the gap in ECE provision for underserved and poorer communitie while new pre-primary schools are being constructed. Being mindful of limited budgets, the programme adopts a cost effective approach that can be later scaled to other settings and adopted by the government, ensuring a far-reaching impact. Additionally, using existing community structures allows for early learning opportunities for those not easily served by pre-primary classrooms attached to a primary school. 

The OBF mechanism will ensure that government and donor money is spent on what works and will encourage results-driven innovation. By focusing on outcomes, OBF programmes are a value-for-money option that ensures every dollar spent to improve children's holistic skills is maximised.",,Yes,,,,,,,,,Yes,,4,,,,source1,,"The direct participants of this programme are children in the 3-5 years levels, with an additional focus on children with developmental delays, who attend informal community-based ECD centers in rural areas, where access to existing pre-primary classrooms is most challenging.",,,,Yes,,,,source1,"The rationale for focusing on this age range responds primarily to the Government priority to promote a strong foundation in the three years before primary school. Additionally, programmes targeted at children ages zero to two call for more multisectoral interventions that in turn can dramatically increase cost, and therefore the level of complexity of the Outcomes Fund design",Data for this pipeline instrument was last updated in November 2024. ,Rwanda,RW
INDIGO-PL-0086,South Africa Early Childhood Development Outcomes Fund,,Current,,source1,,Early stage,source1,,No,Yes,No,No,No,No,,source1,,No,,source1,,,>24 months ,3,,source1,Expected launch date: 2025,"South Africaâs Early Childhood Development (ECD) sector faces significant challenges, including limited access to early learning programmes (ELPs), inconsistent programme quality, and poor developmental outcomes for children, especially in underserved communities. Over a million children aged 3â5 lack access to ECD services, with urban areas experiencing supply shortages and rural areas struggling with low demand. Quality varies widely, as many ELPs lack resources, training, and effective performance monitoring. Developmental outcomes are low, with nearly half of children in ELPs falling short of key milestones, and socio-economic disparities further exacerbating these issues. Additionally, many ELPs are unregistered, limiting their access to government subsidies needed for sustainability.

To address these challenges, the Department of Basic Education (DBE) and the Education Outcomes Fund (EOF) are developing a programme focused on improving access, quality, and developmental outcomes. This approach incorporates extensive stakeholder input, innovative tools for quality assurance, and measures to streamline subsidy access, aiming to achieve universal access to quality ECD by 2030.",source1,,,,,,,Yes,,,source1,,,,,,,,Yes,source1,,,,,,,,,,,,,,,,,"1. Many age-eligible children have no or limited access to ECD services. Currently, over one million children in South Africa between the ages of 3-5 have no or limited access to ECD services. The cause of the perceived access gap differs across geographies; in densely populated urban areas, there are an abundance of age-eligible children in demand of early learning programmes but a limited number of early learning programmes. As such, access gap in such areas stems mostly from shortage in the supply of ELPs. In rural areas where there is abundant land but few age-eligible children, access gap can often be attributed to a lack of demand. 

2. Quality of existing early learning programmes is highly variable. There is not yet an established, reliable assessment system for the quality of early learning programmes. Depending on the socio-economic contexts they operate in, ELPs vary in their abilities to access ancillary support, such as resources for practitioner and management training. ELPs also differ in their abilities to conduct systemic performance monitoring and tailor services to meet the diverse demands of children participating in the programme. 

3. Child development outcomes in existing early learning programmes are low. The 2022 Thrive by Five Index Report, for instance, showed that only 45% of children enrolled in an ELP in South Africa are on developmentally on track for both physical growth and early learning. 53% of all children are falling short of at least one of the developmental milestones for their age and are deemed at risk. 4% of all children face significant barriers to meeting developmental milestones in both physical growth and early learning and are deemed at high risk. 

4. Early learning programmes face barriers to accessing the government subsidy, which is key to ensuring sustainability of the service delivered and outcomes achieved. The 2021 ECD census showed that 60% of centre-based ELPs are not registered. To meet this challenge, DBE is working to streamline the registration framework and process to make it easier and more straightforward for ELPs to register and receive the subsidy. ","The primary objectives of this programme is to expand access to and improve quality of ELPs in disadvantaged communities to ultimately improve child development outcomes. To achieve these objectives, the programme will contract Resource and Training Organizations (RTOs)  to help establish new, high-quality ELPs and support existing ones with training, registration, and additional resources. By doing so, the programme will complement and strengthen DBE's ongoing efforts to build system capacity and expand quality access to ECD services.",,Yes,,,,,,,,,Yes,,4,,,,source1,,"Children aged 0-5 enrolled in low-fee, full-time ELPs","Initial calculations suggest the programme can reach around 100,000 total children in about 1,500 new and existing ELPs over 3 years. ",,,,,Yes,,source1,,Data for this pipeline instrument was last updated in November 2024. ,South Africa,ZA
INDIGO-PL-0087,Northern Kenya DIB,,Current,,source1,,,,,Yes,,,,,,,"source1, source2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,"source1, source2",,,,,,,Yes,,,"source1, source2",,Data for this pipeline project was last updated in May 2024. ,Kenya,KE
INDIGO-PL-0088,Haiti Food Systems Alliance,,Current,,source1,,Early stage,source1,Early stage design,No,No,No,No,Yes,No,,source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,Yes,No,Yes,No,No,No,No,,"1,2,3,4,5,8,9,10,11,12,13,17",,,,source1,,,,,,Yes,No,No,No,source1,,Data for this pipeline project was last updated in May 2024. ,Haiti,HT
INDIGO-PL-0089,Scaling a Successful Social Enterprise in Haiti,,Current,,source1,,Early stage,source1,Early stage design,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,,"1,2,5,8,9,12,13",,,,,,,,,,Yes,No,No,No,source1,,Data for this pipeline project was last updated in May 2024. ,Haiti,HT
INDIGO-PL-0090,"Farms for ecological, social and economic profit",,Current,,source1,,Scoping,source1,New concept development,No,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data for this pipeline project was last updated in September 2022,"Latin America & the Caribbean, South Asia, Sub-Saharan Africa",
INDIGO-PL-0091,Climate Adaptation Catalyst Development Impact Bond,,Current,,source1,,Early stage,source1,Early stage design,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,,"2,5,13,17",,,,,,,,,,No,Yes,No,No,,,Data for this project was last updated in September 2022,Zambia,ZM
INDIGO-PL-0092,Impact Bonds to improve the outcomes of nutritional initiatives,,Current,,source1,,Scoping,source1,,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,2,,,,,,,,,,No,Yes,No,No,,,Data for this project has been last updated in September 2022. ,India,IN
INDIGO-PL-0093,Informal Skilling for Out-of-school Youth,,Current,,source1,,Early stage,source1,Early stage design,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,No,No,No,No,No,No,No,,"1,4,5,8",,,,,,,,,,No,Yes,No,No,,,Data for this pipeline project was last updated in September 2022,Bangladesh,BD
INDIGO-PL-0094,Applying behavioral insights to support gender-based violence survivors in engaging with judicial processes,,Current,,source1,,Early stage,source1,Early stage design,No,No,No,No,No,No,Yes,source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,11,17",,,,,,,,,,No,No,Yes,No,source1,,Data for this pipeline project was last updated in September 2022,"Argentina, Mexico","MX, AR"
INDIGO-PL-0097,Digital Ecosystem for Social Healthcare Enterprises,,Current,,source1,,Early stage,source1,Early stage design,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,Yes,No,No,No,No,No,No,,"3,5,10,17",,,,,,,,,,,,,,,,Data for this pipeline project was last updated in September 2022,India,IN
INDIGO-PL-0098,Revive 2.0,,Current,,source1,,Final negotiations,source1,Scale up,No,No,No,No,No,No,Yes,source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,,"4,5,8,10,17",,,,,,,,,,No,Yes,No,No,source1,,Data for this pipeline project was last updated in September 2022.,India,IN
INDIGO-PL-0099,"Ensuring improved enrollment, retention, and learning outcomes in India's most rural, remote, and educationally backward geographies",,Current,,source1,,Final negotiations,source1,Scale up,No,No,No,No,No,No,Yes,source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,Yes,No,Yes,No,No,No,No,No,No,,"1,2,3,4,5,8,9,10,13",,,,source1,,,,,,No,Yes,No,No,source1,,Data for this pipeline project was last updated in September 2022,India,IN
INDIGO-PL-0100,Emerging Clean Cooking,,Current,,source1,,Late stage,source1,Late stage design ,Yes,No,No,No,No,No,,source1, Internationally Transferred Mitigation Outcomes (ITMOs),,,,,,,,,,,"Our innovation is the use of Digital MRV with Causal AI and Verifiable Claims to create digital units of outcomes. This will transform OBF by making outcome verification fast, cheap, and scalable. The ixo technology solution is designed for easy replication, applicable to various OBF use-cases, and is open-source without IP constraints. This flexibility, coupled with the tokenization of outcomes using digital impact certificates, paves the way for new market mechanisms and participants, scaling both private and public capital flows into SDG and Climate financing. The project's demonstration effect is likely to signal to an emerging competitive marketplace for technology solutions, trading venues, and services related to outcomes-based digital finance and tokenized outcomes. This innovative approach allows projects to be initiated more quickly and funded continuously, reflecting a game-changing model with significant potential for scalability, cost-effectiveness, and broader market adoption.",source1,,"We have has identified as key challenges the need to meet government procurement requirements, which demands further refinement of legal structures and administrative processes. The nascent stage of digital technologies requires demonstration to government stakeholders to gain support for these transformational tools. Additionally, the novel solution of using the ITMOs mechanism to finance privately delivered climate projects by non-state providers needs validation. Accelerator support can be instrumental in overcoming these pain points by providing expertise in legal and administrative design, facilitating demonstrations to build confidence in digital technologies, and assisting in piloting the innovative ITMOs mechanism. This targeted assistance can catalyze the project's progress, breaking through critical barriers and fostering innovative climate solutions.",source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The development challenge centers on the lack of efficient and transparent mechanisms to finance and implement climate impact mitigation interventions in developing regions. Market failures contributing to this challenge include the absence of reliable data for measuring and verifying emission reductions, limited access to capital for innovative climate projects, and a lack of incentives for private investment in sustainable development. Traditional financing models often fall short in addressing the unique needs of climate projects, leading to underinvestment and slow progress. The program aims to overcome these barriers by leveraging the ITMOS mechanism under Article 6.2 of the Paris Agreement, utilizing digital measurement, reporting, and verification (dMRV), and outcome-based financing (OBF). Using already available technology, the program seeks to mobilize private capital, ensure high-integrity data, and create a scalable model for climate action.","Innovations in the digitization of carbon markets could transform how green technology infrastructure, such as modern energy cookstoves, gets financed and scaled up in Africa. These mechanisms leverage Climate Finance to promote financial inclusion and stimulate sustainable local socio-economic development, by distributing incentives and providing direct digital cash transfers to local implementing agents and beneficiaries using the green technologies. Digital transformation also creates opportunities to mobilize and equip digitally-native youth with skills, tools and incentives, which could provide the workforce and promote entrepreneurship for the green economic transition in Africa. The UNICEF-led Youth Opportunities Marketplace (Yoma) is gearing up to provide the digital coordination and financing platform aiming to create new income opportunities for youth in the transition to a green economy. Internationally Transferred Mitigation Outcomes (ITMOs) are a key driver of this financing innovation. National governments in Africa have begun to introduce regulations that allow mitigation activities to be funded through ITMOs under Article 6.2 of the Paris Agreement. As an example, the government of Zambia has authorized the design of a national modern energy cooking mitigation activity that implements digital Measurement, Reporting and Verification (dMRV) to certify Mitigation Outcomes and Carbon Credits. Government-sanctioned Mitigation Outcome Purchase Agreements (MOPAs) between the Mitigation Activity (MA) implementers and counterparty government Acquiring Parties are expected to raise the bar for the quality, price, and predictability of the supply for Mitigation Outcomes â including for carbon credits in the Voluntary Carbon Markets. This should significantly reduce financing risks for private capital to invest in green energy infrastructure projects. Digital MRV provides real-time visibility of MA project performance, which could reduce project execution risks. Generating digitally certified outcomes could increase capital velocity and liquidity in carbon credit markets. Project finance may now be structured using innovative financing instruments that are linked to the proceeds of MOPAs and to forward contracts for digitally certified ITMOs and Carbon Credits in the private sector. This model of Outcome-based Financing presents a promising approach that could be extended to other areas of sustainable development, such as healthcare and education, potentially transforming funding mechanisms in these sectors and providing opportunities for youth.",No,No,No,No,No,No,Yes,No,Yes,No,No,,"5,7,13",,,,,,,,,,No,Yes,No,No,source1,,Data for this pipeline project was last updated in May 2024.,Zambia,ZM
INDIGO-PL-0101,Outcomes finance for vaccine distribution,,Current,,source1,,Early stage,source1,Early-Stage Design,Yes,No,No,No,No,No,,source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,,"4,17",,,,source1,,,,,,No,Yes,No,No,source1,,Data for this pipeline project was last updated in September 2022,Zambia,ZM
INDIGO-PL-0102,For the Well Being of All,,Current,,source1,,Early stage,,Early-Stage Design,No,No,No,No,No,No,Yes,source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,source1,,Data for this pipeline project was last updated in September 2022,Kenya,KE
INDIGO-PL-0103,Resilience at scale: a unique pay per for results model to increase the uptake of social protection in India,,Current,,source1,,Late stage,source1,Late-stage design,No,No,No,No,Yes,No,,source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,No,Yes,No,No,No,No,No,No,,"1,3,5,8,10",,,,source1,,,,,,No,Yes,No,No,source1,,Data for this pipeline project was last updated in September 2022,India,IN
INDIGO-PL-0104,Social Success Note Facility in Climate Action space in India,,Current,,source1,,,source1,Unspecified,No,No,No,No,No,No,Yes,source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,,"5,7,8,9,12,13,14,15,16",,,,source1,,,,,,No,Yes,No,No,source1,,Data for this pipeline project was last updated in September 2022,India,IN
INDIGO-PL-0105,Adaptive Financing of Quality Primary Education Technologies,,Current,,source1,,Final negotiations,source1,Scale Up,Yes,No,No,No,No,No,,source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,,"4,5",,,,source1,,,,,,No,Yes,No,No,source1,,Data for this pipeline project was last updated in May 2024,India,IN
INDIGO-PL-0106,"Strengthening of Farmer Producer Companies (FPC) in order to achieve improved SDG outcomes of the associated 10,000 farming families in Karnataka and Gujarat",,Current,,source1,,Final negotiations,source1,Scale Up,No,No,No,No,No,No,Yes,source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,source1,,,10000,Other,Families,No,Yes,No,No,source1,,Data for this pipeline project was last updated in September 2022,India,IN
INDIGO-PL-0107,Results-based funding (RBF) mechanism for the operational management of the Juntos Program to improve the access to health and education services at the local level,,Current,,source1,,Early stage,source1,Early-Stage Design,No,No,No,No,No,No,Yes,source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,Yes,No,No,No,No,No,No,,"3,4,10",,,,source1,,,,,,No,No,Yes,No,source1,,Data for this pipeline project was last updated in September 2022,Peru,PE
INDIGO-PL-0109,Monami,,Current,,source1,,Early stage,source1,Early-Stage Design,No,No,No,No,Yes,No,,source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,Yes,No,No,No,No,No,No,,3,,,,source1,,,,,,No,Yes,No,No,source1,,Data for this pipeline project was last updated in February 2024,Angola,AO
INDIGO-PL-0110,Liyu Class: A Social Franchise to transform urban sanitation in Ethiopia,,Current,,source1,,Early stage,source1,Early-Stage Design,No,No,No,No,No,No,Yes,source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,Yes,No,No,No,,"6,8",,,,source1,,,,,,Yes,No,No,No,source1,,Data for this pipeline project was last updated in September 2022,Ethiopia,ET
INDIGO-PL-0111,"Behavioral Cognitive Program for Secondary Prevention of Violence with High School Students in Jalisco, Mexico",,Current,,source1,,Late stage,source1,Late-Stage Design,No,No,No,No,No,No,Yes,source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,Yes,No,No,No,No,No,No,,"3,16",,,,source1,,,,,,No,No,Yes,No,source1,,Data for this pipeline project was last updated in September 2022,Mexico,MX
INDIGO-PL-0112,Republic of South Africa Outcomes Based Solutions to Disadvantaged Urban Communities,,Current,,source1,,Scoping,source1,Scoping Study,No,No,No,No,No,No,Yes,source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,No,No,No,No,No,No,No,No,,"1,8,10,11",,,,source1,,,,,,No,No,Yes,No,source1,,Data for this pipeline project was last updated in September 2022,South Africa,ZA
