project_name,location_identifier,indigo_name,original_language_name,english_translated_name,alternative_name,countries_iso,project_url,is_sib,is_dib,variant_name,naming_error_assumed,is_historic,is_active,is_proof_of_concept,stage_of_development,contract_signature_date,expected_completion_date,completion_date_actual,service_provision_started,service_provision_end_expected,service_provision_end_actual,notes_about_dates,project_finance_currency_iso,staticfx_210525,fx_pair,total_investment_committed_exact_usd,total_investment_committed_exact,total_investment_committed_usd,investment_commitment_max_value,investment_commitment_min_value,project_finance_notes,social_challenge_category,intervention_description,intervention_policy_sector,target_population_description,target_pop_unique_value,target_pop_type,beneficiaries_actual_value,beneficiaries_actual_type,beneficiaries_notes,value_notes
Duo for a job,,Duo for a job,,,,BE,,False,False,,False,False,False,False,Complete,,,,2014-01,,,,EUR,1.13,EURUSD,264420,234000,264420,,,,,"Duo for a Job, an intergenerational mentoring programme, matches young unemployed migrants with experienced local retirees. The 'duos' work together for a period of six months to connect the young migrant to local networks and help find suitable employment.",Employment and training,"Young migrants aged 18 to 30 years who are: not EU, US or Canadian nationals; are legally residing in Brussels; and are registered with Actiris (the government employment agency)",,,,,,"1) Evaluator: l'Observatoire bruxellois de l'emploi (Brussels Observatory of Employment) - use of a matched comparison group 2) Financial terms: 100% re-payment of the principal will be made if the employment rate is beyond 10 % of the control group. In this case, additional return of investments can be received, ranging between 3% to 7 %. 3) No clear name could be identified, some refer to the SIB as ""Duo for the Job"" (e.g. Brookings Institute).  "
BeCode youth employment  ,,BeCode youth employment (Antwerp),,,,BE,,False,False,,False,False,False,False,Implementation,2018-10,,,2019-01,,,,,,,,,,,,,,"Through this pilot project, the Flemish Service for Employment and Vocational Training (VDAB) is looking to get youngsters in Antwerp who are difficult to reach – the so-called 'NEETs' (Not in Education, Employment or Training) in particular - into work. BeCode provides low-threshold training courses in day-time education, familiarising young people with digital technologies. For the youngsters who enrol, the training is free of charge. BeCode works both on their technical skills, such as building a website or a mobile application, and their soft skills, such as creativity, problem solving, working in a team and project management.",Employment and training,"Young people in Antwerp who are not in education, employment or training.",,,,,,
Back on Track,,Back on Track,,,,BE,,False,False,,False,False,False,False,Implementation,,,,2020-03,,,,EUR,1.13,EURUSD,1921000,1700000,1921000,,,,,"The 'Back on Track' program is aimed at young people deprived of income and housing.The non-profit organization Oranjehuis will intensively support young people according to the principle of 'Housing First for Youth.'"" This method focuses first of all on housing, then helping young people to recover, build a network and find a job or training. For young people who are coming out of detention, the non-profit organization wants to greatly reduce the risk of recidivism. The program will be spread over three years in the provinces of West and East Flanders. Each young participant will be intensively supported for twelve months.
",Homelessness,"133 young adults aged 17 to 25 in precarious situations. These are young people who are homeless, or who are at risk of becoming homeless, and who find themselves without help because of the current long waiting list for reception solutions.
",,,,,,
Cambodia Rural Sanitation Development Impact Bond,,Cambodia Rural Sanitation Development Impact Bond,,,,KH,,False,True,,False,False,False,False,Implementation,,,,2019-11,,,,,,,,,,,,,"Cambodia has seen significant progress in increasing rural sanitation coverage over the last 15 years, with national coverage rates rising from 20% to 74.6% in 2020. The Royal Government of Cambodia has now set the ambition of eradicating open defecation by 2025 as part of its National Action Plan for Rural Water Supply, Sanitation, and Hygiene II. However, the challenge of realising universal sanitation coverage in Cambodia is getting harder as the focus shifts to the poorest, the most marginalised, and the hardest to reach populations.","This DIB is the first one in the water, sanitation and hygiene sector and aims to end open defecation in 1600 villages across six provinces in Cambodia. Through the DIB, the Stone Foundation will invest in iDE's market-based sanitation program, which trains and coaches sales agents to sell toilets to households and communities and works with businesses, such as cement companies, to expand into the toilet business. The outcomes focus of the DIB provides flexibility for iDE to evolve its programme in a complex and constantly changing market—especially important as iDE tests new strategies for reaching the poorest and most vulnerable households",Poverty reduction,"Rural communities across six provinces in Cambodia: Svay Rieng, Kandal, Prey Veng, Kampong Thom, Siem Reap and Oddar Meanchey. With a focus on poorer and harder-to-reach groups including women, children, people living with disabilities and older people.",,Other,,,,
Cameroon Kangaroo Mother Care Development Impact Bond (KMC DIB),,Cameroon Kangaroo Mother Care Development Impact Bond (KMC DIB),,,,CM,,False,True,,False,False,False,False,Implementation,2018-12,,,2019-02,2021-03,2021-09,It was extended by 6 months due to Covid 19.,USD,1,USDUSD,800000,800000,800000,,,"$3.1 million dollars (USD) of programme outcomes were delivered , of which $2.43m were paid due to the contract cap.",,"The KMC DIB's objective was  to identify a path to scale for and expand quality KMC to five regions in Cameroon to reduce infant mortality levels. Kangaroo Mother Care is a proven and globally recommended health practice for babies born early or small, which involves holding the baby skin-to-skin on the mothers or other caregivers chest, ideally feeding them only breastmilk, minimising time in hospital and having close follow-up of the mother and baby once they return home. It aimed to achieve this in two ways: 1. Roll out KMC in 10 hospitals across five regions in Cameroon, with the ultimate outcome of significant and verifiable improvements in LBW infant health. Intermediate outcomes include  extended periods of skin-to-skin care for LBW and pre-term neonates, high rates of exclusive breastfeeding, and above-average weight gain by 40 weeks gestational age. 2. Integrate high-quality KMC into Cameroon's public healthcare system to ensure the DIB investment's long-term sustainability, including further expansion to hospitals nationwide.",Health,The project will be implemented across five regions in Cameroon targeting low birth weight (LBW) or preterm newborns. Those regions were chosen based on needs (i.e. newborn mortality rate level) and volume of infants admitted in hospitals.,,,,,,
Cameroon Cataract Bond,,Cameroon Cataract Bond,,,,CM,,False,False,,False,False,False,False,Implementation,,,,2018-03,,,,USD,1,USDUSD,2000000,2000000,2000000,,,,,"The Cameroon Cataract Bond is a pay-for-performance loan designed to provide funding to build a hospital to prevent blindness through the provision of cataract surgeries, with the ultimate goal of making the hospital self-sufficient after five years. 
In order to help prevent avoidable blindness in Cameroon, the hospital has adopted the Aravind model of cross-subsidisation pricing, high service volume, and revenue diversification strategies to provide quality cataract treatment services to the poor at low or no cost in Cameroon. In order to operationalise the cross-subsidisation pricing model, the hospital has two target groups: low-income patients and middle-income patients. ",Health,"In order to operationalise the cross-subsidisation pricing model, MICEI has two target groups: low-income patients and middle-income patients. The funds generated will enable MICEI to provide cataract surgery for free or at a subsidised price for patients that are unable to pay for transport to the hospital and for the treatment itself. At least 40% of surgeries provided to individuals belonging to the bottom two wealth quintiles of the population in Cameroon by the end of year 5.",,,,,,
Mother Teresa Middle School,,Mother Teresa Middle School,,,,CA,,False,False,,False,False,False,False,Implementation,,,,2016,,,,CAD,0.72,CADUSD,720000,1000000,720000,,,,,"The intervention supports young people who are at high risk of poor academic achievement to engage in education and remain in school. It focuses particularly on students from indigenous communities, who historically have had lower graduation rates than non-indigenous students. ",Education,Grade 6 to 8 students whose probability of success has been compromised by social and economic factors - a large proportion of these are First Nations or Metis.,,,,,,1) Full repayment of the principal and payment of an annual interest rate of 1.3%: achievement of a 82 % or higher Grade 12 graduation rate; repayment of 3/4 of the principal: at least 75% graduation rate; no repayment of principal: graduation rate below 75%. 2) Progress is tracked annually by the Canadian Ministry of Education. 
Community Hypertension Prevention Initiative ,,Community Hypertension Prevention Initiative ,,,,CA,,False,False,,False,False,False,False,Implementation,,,,2016,,,,CAD,0.72,CADUSD,2088000,2900000,2088000,,,,,"The intervention invites pre-hypertensive Canadians to learn about the risks of becoming hypertensive from volunteers and will provide healthy behavior support to control their blood pressure. The program is six months long and incorporates technology, coaching and community resources. ",Health,Pre-hypertensive senior citizens (aged 60 or more) in Toronto and Vancouver.,,,,,,
Essential Skills Social Finance (ESSF) Pilot Project ,,Essential Skills Social Finance (ESSF) Pilot Project ,,,,CA,,False,False,,False,False,False,False,Implementation,,,,2016-10,,,,CAD,0.72,CADUSD,180000,250000,180000,,,,,"The intervention seeks to recruit low-skilled, unemployed adult Canadians to raise their essential skill levels through the delivery of a training initiative based on Douglas College's proven Foundations Workplace Essential Skills Program. ESSF offers a blended-learning model comprised of group and individualized instruction designed to increase essential skills and engage participants. It is comprised of 144 instructional hours, typically delivered 6 hours per day, 4 days per week, for 6 weeks. Curriculum content supports learning in five main categories: document use, writing, digital technology, reading and numeracy. Each has a set of group activities, plus guidelines and resources for individual practice, at lower and higher levels of skill. As part of the curriculum, learners develop and produce their own portfolio of documents and resources to support them in their trajectory towards stable and satisfactory employment. The portfolio is more than a CV, containing materials for individual career exploration and job search, as well.",Employment and training,"Unemployed or underemployed adult Canadians with lower literacy skills, defined as below Level 3 on the IALS scale.",,,,,,
Sweet Dreams SIB,,Sweet Dreams SIB,,,,CA,,True,False,,False,False,False,False,Implementation,,,,2014-05,,,,CAD,0.72,CADUSD,720000,1000000,720000,,,,,"The intervention seeks to provide safe accomodation and support that allows at-risk young single mothers to continue with 
their education or participate in work-preparation activities. The treatment can last from 2 months to 2 years, depending on need.",Child and family welfare,Single mothers with children under the age of 8 who are at risk of requiring services from Child and Family Services. ,,,,,,
Programe Primero Lee,,Programa Primero Lee [Read First Program] - Children literary development Impact Bond,Programe Primero Lee,Read First Program,,CL,,False,False,,False,False,False,False,Implementation,2019-04,,,2019-03,2022,,,EUR,1.13,EURUSD,305552,270400,305552,,,,,"Improve the literary (reading and writing) skills of children living in vulnerable contexts in the Estacion Central commune of Santiago de Chile. The intervention focuses on helping children to: learn how to read and write, increase vocabulary, develop reading comprehension and creative writing. The intervention is implemented at school throughout the academic year, and is complemented with the Languange and Communication Program provided by the Ministry of Education.",Education,"Participants must meet the following criteria: (1) children enrolled in NT2, 1st or 2nd grade (primary school), (2) have a score of 70% or more in the School Vulnerability Index (IVE), (3) have a score below ""adequate level"" according to the Quality of Education Agency, based on the results of the language SIMCE Test.",,,,,,
Cali Progresses with Employment,,Cali Progresses with Employment,,,,CO,,False,False,,False,False,False,False,Implementation,,,,2019-02,,,,COP,0,COPUSD,139342950,2700000000,0,,,,Unemployment,"The SIB aims to employ vulnerable individuals in formal jobs and support them in retaining those jobs (ideally for 6 months but at least for 3 months). The SIB supports a range of employment measures, including soft and hard skill training, psychosocial support, socio-occupational orientation, and intermediation services for job placement and retention. The intervention was originally designed by ACDI VOCA, Fundación ANDI, and Fundación Corona.",Employment and training,"Individuals not formally employed at the start of the program, aged 18-40,  and who had not participated in employment programs launched by the Municipality of Cali in the last 2 years. Participants also had to meet one of the following requirements: score below 41.74 on the Beneficiary Selection System for Social Programs (SISBEN), belong to Red Unidos or Gestores (government programs for particularly vulnerable communities), or be victims of displacement due to armed conflict.",,,,,,"The Swiss Secretariat is the outcome funder. IDB Lab, with SECO funding, is the copayer, with the Cali Municipality. Cali and the I-Lab, as co-payors, will only pay for the individuals that actually find and retain stable employment, for at least 3 to 6 months, and not for activities that the program operators will be providing (such as training courses or job intermediation with employers). The results of the program will be verified by Deloitte, which will serve as the independent auditor."
Empleando Futuro,,Colombia Workforce Development SIB: Empleando Futuro,Empleando Futuro,Colombia Workforce Development SIB,,CO,,False,False,,False,False,False,False,Complete,2017-03,2019-12,2019-12,2017-05,,,,COP,0,COPUSD,139342950,960000000,0,,,,Unemployment,"In this SIB, the aim was to employ vulnerable individuals in formal jobs and support them in retaining those jobs (for at least three months). The SIB supported a range of employment measures, including skills training, psychosocial support, and intermediation services for job placement and retention, for 766 vulnerable individuals. The intermediation services included: Analysis of the context of the labour market, raising awareness of potential employers, managing strategic relations with potential employers for this population profile, the characterization and preparation of participants, and the accompaniment of companies and beneficiaries to identify opportunities to articulate the vacancies with candidates. Job placement and job retention for 3 months were the two core-metrics, each of which represent half of the base repayment amount. The IDB-MIF / SECO provided a bonus payment of 10 percent of the overall price of the two metrics for 6-month job retention. ",Employment and training,"Individuals not formally employed at the start of the program, aged 18-40, and who had not participated in these two national employment programs: ""Empleos para la Prosperidad"" or ""Mi Negocio"". Participants also had to meet one of the following requirements: scored below 41.74 on the Beneficiary Selection System for Social Programs (SISBEN), were registered in Red Unidos, or were victims of displacement due to armed conflict.",,,899,,,
Kotouttamisen SIB,,Kotouttamisen SIB (Integration Project),, Integration Project,,FI,,True,False,,False,False,False,False,Complete,2017-01,,,2017,2020,2022,,EUR,1.13,EURUSD,16159000,14300000,16159000,,,,,"To employ 2,500 immigrants within the next three years and help employers get the skilled workforce they need.
To help immigrants become part of the Finnish society through education, training and employment.
To provide vocationally oriented language and other training to immigrants in support of finding employment.
",Employment and training," Immigrants aged 17-63, who have been granted a residence permit on the basis of international protection and who have registered as unemployed job seekers at the Employment and Economic Development Office",,,,,,"Value capture - Maximum payments possible:
€1500 fixed fee for each completed
integration training + 50% of tax
collections and employment benefit
savings versus control group"
