name,jurisdiction,description,website,type___value
ABN AMRO Bank,,,,
Gyan Shala,,,,
Kaivalya Education Foundation (KEF),IN,Kaivalya Education Foundation (KEF) is a social change organization working in the field of education in India.,http://www.kefindia.org ,"Registered non-profit organisation, charity or foundation"
Dalberg Advisors,,,,
Educate Girls,IN,"Established in 2007, Educate Girls is a non-profit that focusses on mobilising communities for girls' education in India's rural and educationally backward areas. 

Strongly aligned with the 'Right to Education Act' or the 'Samagra Siksha', Educate Girls is committed to the Government's vision to improve access to primary education for children, especially young girls. ",http://www.educategirls.ngo,"Registered non-profit organisation, charity or foundation"
ConveGenius Insights (previously known as Gray Matters India),IN,,https://www.convegeniusinsights.com/,
Michael and Susan Dell Foundation,US,"The Michael & Susan Dell Foundation is dedicated to transforming the lives of children living in urban poverty through improving their education, health and family economic stability.",https://www.msdf.org,"Registered non-profit organisation, charity or foundation"
Comic Relief,GB,"Comic Relief is a major UK charity, with a vision of a just world, free from poverty.",https://www.comicrelief.com,"Registered non-profit organisation, charity or foundation"
British Telecom,GB,,,"Registered company, partnership or commercial association"
The Mittal Foundation,GB,,,"Registered non-profit organisation, charity or foundation"
British Asian Trust,GB,"The British Asian Trust is a diaspora-led international development organisation, founded in 2007 by His Majesty King Charles III and a group of British Asian business leaders to tackle widespread poverty, inequality and injustice in South Asia. The Trust specialises in, and champion the use of, social finance products to drive positive change across the region. In India, 3 of the country's 5 development impact bonds (DIBs) have been conceptualised and executed by the British Asian Trust – the Quality Education India DIB, the Skill Impact Bond, and the LiftEd DIB. In Pakistan, the Trust is currently developing the country's first outcomes-based initiative and is gearing up to launch an impact bond in employment. ",https://www.britishasiantrust.org,"Registered non-profit organisation, charity or foundation"
Gewaltschutzzentrum Oberösterreich (Center for Protection Against Violence Upper Austria),,,,
Frauenhaus Linz (Women's Shelter Linz),,,,
Wirtschaftsprüfungsgesellschaft m.b.H. Ernst & Young (Auditing Firm Ernst & Young),,,,
"NPO & SE Kompetenzzentrum, WU Wien (Competence Center for Nonprofit Organizations and Social Entrepreneurship at the Vienna University of Economics and Business)",,,,
Institut für Konfliktforschung (Institute of Conflict Research),,,,
Juvat gGmbH,,,,
"Bundesministerium für Bildung und Frauen (Austrian Federal Ministry of Labor, Social Affairs, and Consumer Protection)",AT,,,Government body
ERSTE österreichische Spar-Casse Privatstiftung (ERSTE Foundation),,,,
Familie Scheuch Privatstiftung (Scheuch Family Private Foundation),,,,
HiL-Foundation,,,,
Schweighofer Privatstiftung Beteiligungsverwaltung GmbH (Schweighofer Private Foundation),,,,
1625 Independent People,GB,,,
North Somerset Council,GB,,,Government body
South Gloucestershire Council,GB,,,Government body
Bath & North East Somerset Council,GB,,,Government body
"RichmondPRA Limited known as ""Flourish Australia""",,,,
New South Wales Health,AU,,,Government body
"Investors range from high net worth individuals and foundations, through to institutional investors such as NGS Super and Grosvenor Pirie Super.",,,,
Movement,,,,
Social Finance Israel,,,,
Isreali Health Maintenance Organisations Clalit and Leumit,IL,,,Government body
National Insurance Institute,IL,,,Government body
Multiple investors,,,,
Granite School District,,,,
Park City School District,,,,
Guadalupe School,,,,
YMCA of Northern Utah,,,,
Children's Express,,,,
Lit'l Scholars,,,,
Utah State University's Early Intervenion Research Institute,,,,
United Way of Salt Lake,,,https://uw.org/,
Voices for Utah Children,,,,
United Way of Salt Lake and Salt Lake County (cohort 1),US,,,"Registered non-profit organisation, charity or foundation"
State of Utah (cohorts 2 - 5),US,,,Government body
J.B. & M.K. Pritzker Family Foundation,,,,
L'Association pour le Droit à l'Initiative Economique (Association for the Right to Economic Initiative),,,,
KPMG,,,,
Renault Mobiliz Invest,,,,
AG2R La Mondiale,,,,
Fondation Avril,,,,
International Committee of the Red Cross,CH,The International Committee of the Red Cross (ICRC) is a humanitarian institution ensuring humanitarian protection and assistance for victims of war and other situations of violence. The ICRC launched the first Humanitarian Impact Bond in 2017.,https://www.icrc.org/en,"Registered non-profit organisation, charity or foundation"
Philanthropy Associate (evaluator),,,,
Norton Rose Fulbright,,,,
Marten Touw (design & structuring-pro bono),,,,
La Caixa Foundation,ES,,,"Registered non-profit organisation, charity or foundation"
Government of Switzerland,CH,,,Government body
Government of Belgium,BE,,,Government body
Government of Italy,IT,,,Government body
European institutional investors and high net worth individuals.,,,,
GM Homes Partnership (a consortium put together by One Manchester & Trafford Housing Trust),,,,
Great Places,,,,
Greater Manchester Combined Authority (GMCA),GB,,,Government body
One Manchester,,,,
Trafford Housing Trust,,,,
NorthCare,,,,
University of Oklahoma Biomedical and Behavioral Methodology Core,,,,
Cross Sector Innovation (technical assistance and transaction structuring),,,,
Oklahoma Department of Human Services,US,,,Government body
Arnall Family Foundation,,,,
Children Support Services Limited (CSSL),,,,
Essex County Council,GB,,,Government body
Barrow Cadbury Charitable Trust,,,,
Esmee Fairbairn Foundation,,,,
King Baudouin Foundation,,,,
Ananda Social Venture Fund,,,,
The Tudor Trust,,,,
Perth and District YMCA,,,,
Indigo Project Solutions,,,,
"Local investors: Aberfeldy Church of Scotland, a regional development organisation, local businesses and individuals",,,,
Fundación Alvaralice,,,,
Fundación Carvajal,,,,
Corporación Inversor,CO,,https://www.inversor.org.co/en/home/,"Registered company, partnership or commercial association"
Instiglio,CO,"Instiglio is a non-profit advisory firm specialised in Results-Based Financing for low- and middle-income countries. Its mission is to empower leaders in the social, public, and private sectors to improve the impact of social programs in developing countries by tying funding to results. ",https://www.instiglio.org/en,"Registered non-profit organisation, charity or foundation"
Durán & Osorio,,,,
Swiss State Secretariat of Economic Affairs (SECO),CH,"The State Secretariat for Economic Affairs – SECO is the Swiss federal government's center of expertise for all core issues relating to economic policy. SECO's Economic Cooperation and Development Division is responsible for the planning and implementation of Switzerland's economic development cooperation. The overall objective is to promote economically, environmentally and socially sustainable growth that will create new jobs, encourage higher productivity and contribute to reducing poverty and inequality.",https://www.seco-cooperation.admin.ch/secocoop/en/home.html ,Government body
Fundación Corona,CO,"Fundación Corona is a private nonprofit organization that supports and funds initiatives oriented towards strengthening the institutional capacity of the country in four strategic social sectors: education, health, entrepreneurial development and local and community development.",http://www.fundacioncorona.org,"Registered non-profit organisation, charity or foundation"
Fundación Mario Santo Domingo,,,,
Fundación Bolívar Davivienda,,,,
Fundación Plan,,,,
Fundación WWB Colombia,,,,
Community Links,,,,
Stratford Development Partnerships,,,,
Jefferson County School District R-1,,,,
Jefferson County Human Services,,,,
Colorado Evaluation and Action Lab (University of Denver),,,,
Community First Foundation,,,,
Tuscaloosa VA Medical Center,,,,
Westat,,,,
Commonwealth of Massachusetts,US,,,Government body
City of Boston,US,,,Government body
US Department of Veterans Affairs Center for Innovation,US,,,Government body
Corporation for National and Community Service (Social Innovation Fund),US,,,Government body
The Dakota Foundation,,,,
Deutsche Bank,,,,
The Robin Hood Foundation,,,,
HCT Group,,,,
The National Lottery Community Fund,GB,,,Government body
First Step House,,,,
Living Cities,,,,
EDUCOM (Associacao Portuguesa de Telematica Educativa),,,,
Lega S Jugendhilfe gGmBH (Lega S youth welfare gGmbH),,,,
Landkreis Osnabrück (commissioner) and evaluation commissioned by Bertelsmann Stiftung,,,,
Landkreis Osnabrück (District of Osnabrück),DE,,,Government body
Kreissparkasse Bersenbrück (saving bank Bersenbrück ),,,,
Worcestershire County Council,GB,,,Government body
Redditch & Bromsgrove Clinical Commissioning Group,GB,,,Government body
South Worcestershire Clinical Commissioning Group,GB,,,Government body
Wyre Forest Clinical Commissioning Group,GB,,,Government body
Nesta Impact Investments,,,,
Age UK,,,,
Anchor Construction,,,,
DC Water (evaluator),,,,
unknown independent validator,,,,
Public Financial Management,,,,
Quantified Ventures (PFS transaction coordinator),,,,
DC Water and Sewer Authority,US,,,Government body
Calvert Foundation,,,,
Article 1,,,,
Citizen Capital,,,,
Ministry of Agriculture and Food (Ministère de l'Agriculture et de l'Alimentation),FR,,,Government body
Fonds B,FR,,,"Registered non-profit organisation, charity or foundation"
La Banque des Territoires (Groupe Caisse des Dépots),,,,
Cancer Scan Co.,,,,
Hiroshima Prefecture,JP,,,Government body
Takehara City,JP,,,Government body
Onomichi City,JP,,,Government body
Fukuyama City,JP,,,Government body
Fuchu City,JP,,,Government body
Miyoshi City,JP,,,Government body
Kashihara City,JP,,,Government body
Social Investment Promotion Foundation,,,,
Hiroshima Bank,,,,
Mizuho Bank,,,,
General private investors (Cloudfunding),,,,
Movimento de Defesa da Vida (Mouvement for the Defense of Life),,,https://www.mdvida.pt/,
MAZE,PT,"MAZE works alongside impact ventures and investors to scale effective solutions for social and environmental challenges. They currently run three acceleration programmes in Lisbon and Porto. Since 2014, they have launched 4 Social Impact Bonds and raised 3 million euros investment for impact ventures in Portugal.",https://maze-impact.com/,"Registered company, partnership or commercial association"
Calouste Gulbenkian Foundation,,,,
Caixa Economica Montepio Geral,,,,
BEST Network (Charity) members,,,,
St Pauls Community Trust,,,,
Merlin Venture Ltd,,,,
Employment Needs Training Agency (ENTA),,,,
Birmingham Disability Resource Centre,,,,
Focus Enterprises,,,,
Birmingham Institute for the Deaf,,,,
Worth Unlimited,,,,
Gateway Family Services,,,,
Autism West Midlands,,,,
Createafuture,,,,
Crossmatch Solutions,,,,
"Rathbones
ENTA",,,,
Birmingham Institute,,,,
Advance Personnel Management (APM) UK Ltd,,,,
Home Group,,,,
Depaul,,,,
Your Homes Newcastle,,,,
Oasis Aquila,,,,
Changing Lives,,,,
Framework Partners,,,,
Numbers for Good,,,,
North Star Ventures,,,,
Aino Health Management Oy,,,,
Headsted Oy,,,,
Tietotaito Group Oy and Trainers' House Oyj,,,,
Epiqus Oy,,,,
Public sector employers,FI,,,Government body
Sitra,FI,"Sitra – The Finnish Innovation Fund is an independent public fund which, under the supervision of the Finnish Parliament, promotes the welfare of Finnish society.
",https://www.sitra.fi/en/,Government body
Me-säätiö (Me Foundation),,,https://www.mesaatio.fi/,
Henri Kulvik,,,,
We Foundation,,,,
DAI Global,PS,DAI runs a World Bank project in Palestine which includes a DIB focused on workforce development; they are also currently pitching another project focused on climate smart agriculture.,https://www.dai.com,
Ramallah-based management team,,,,
The World Bank,US,,https://www.worldbank.org/ext/en/home,"Multilateral, bilateral or intergovernmental body"
World Bank Group State and Peacebuilding Fund (SPF),US,,,"Multilateral, bilateral or intergovernmental body"
Palestine Investment Fund (PIF),,,,
European Bank for Reconstruction and Development (EBRD),,,https://www.ebrd.com/home,"Multilateral, bilateral or intergovernmental body"
FMO (the Netherlands Development Finance Company),,,,
"Invest Palestine (through the Chilean-Palestinian Disapora Investment Fund ""Semilla de Olivo"")",,,,
Daekyo Consortium (Daekyo Culture Foundation Daekyo Co. Ltd.),,,,
Pan-Impact Korea,,,,
Seoul Metropolitan Government,KR,,,Government body
People and Peace Link,,,,
UBS Securities Pte. Ltd.,,,,
Merry Year Social Company,,,,
London Borough of Barnet,GB,,,Government body
London Borough of Camden,GB,,,Government body
Roca,,,,
SIBalytics (evaluator),,,,
The Urban Institute,,,,
Public Consulting Group (validator),,,,
Youth Services,,,,
US Department of Labor,US,,,Government body
Goldman Sachs (Social Impact Fund),,,,
Kresge Foundation,,,,
New Profit Inc.,,,,
The Boston Foundation,,,,
Family Psychology Mutual (Functional Family Therapy LLC),,,,
Family Action UK,,,,
South West London and St George's Mental Health NHS Trust,,,,
London Borough of Sutton,GB,,,Government body
London Borough of Tower Hamlets,GB,,,Government body
London Borough of Bexley,GB,,,Government body
London Borough of Merton,GB,,,Government body
London Borough of Newham,GB,,,Government body
Thames Reach,,,,
Greater London Authority (GLA),GB,,,Government body
Social Enterprise Investment Fund (SEIF),,,,
Magrabi ICO Cameroon Eye Institute (MICEI),,,,
Volta Capital,,Volta Capital specialises in providing bespoke services that assist major players in the impact economy to establish strategies that mobilise funding to meet the needs of underserved communities and generate increased impact.,http://www.voltacapital.com/,"Registered company, partnership or commercial association"
European Agency for Development and Health (AEDES),,,,
Linklaters,,,,
Conrad N. Hilton Foundation,US,,,"Registered non-profit organisation, charity or foundation"
The Fred Hollows Foundation,AU,The Fred Hollows Foundation is international development organisation working towards eliminating avoidable blindness and improving Indigenous Australian health.,https://www.hollows.org/au/home,"Registered non-profit organisation, charity or foundation"
Sightsavers,GB,,,"Registered non-profit organisation, charity or foundation"
OPIC (Overseas Private Investment Corporation),,,,
Netri Foundation,,,,
ArboNed,,,,
Re-turn,,,,
TNO and Tilburg University (investigate the effect financed by ZonMw),,,,
De Amersfoortse,NL,,,"Registered company, partnership or commercial association"
ABN-AMRO Social Impact Fund,,,,
Associacao Sapana,,,,
Direcao-Geral de Reinsercao e Servicos Prisionais (General Directorate for Reinsertion and Prison Services),PT,,,Government body
Apps4mobility International Lda,,,,
Urban Futures,,,,
Fit for Sport,,,,
Catalyst Gateway,,,,
Twist,,,,
Arrival Education,,,,
Positive Arts,,,,
Kangaroo Foundation Cameroon,,,,
Kangaroo Foundation Colombia,,,,
10 hospitals (including Center of Excellence Laquintinie hospital in Douala),CM,,,
Morrison & Foerster,,,,
"Ministry of Public Health, Cameroon (via the World Bank's Global Financing Facility)",CM,,,Government body
Nutrition International,CA,,,Government body
Grand Challenges Canada (GCC),,,,
Abode Services,,,,
University of California School of Medicine (San Francisco),,,,
County representative in conjunction with Adobe representative constitute the Project Manager,,,,
Palantir Technologies (technology partner),,,,
"County of Santa Clara, California",US,,,Government body
County Housing Funds,US,,,Government body
The Sobrato Family Foundation,,,,
The California Endowment,,,,
The Health Trust,,,,
Corporation for Supportive Housing,,,,
The James Irvine Foundation,,,,
Dyslexia Action and Include (subsidiary of Catch22),,,,
3SC,GB,,,
Wimoov,,,,
Ecofi Investissements,,,,
First Contact Clinical,,,,
Mental Health Concern,,,,
HealthWORKS Newcastle,,,,
Ways to Wellness,,,,
NHS North East Quality Observatory System (NEQOS),,,,
Rocket Science,,,,
Vital Services North East,,,,
Newcastle Gateshead CCG,GB,,,Government body
AMIA (Argentine Israelite Mutual Association),,,,
Fundacion Forge,,,,
Fundacion Pescar,,,,
Fundacion Reciduca,,,,
Acrux Partners,,,,
Beccar Varela Law Firm,,,,
Fundacion Alimentaris,,,,
Government of the City of Buenos Aires,AR,,,Government body
Banco Ciudad de Buenos Aires (Bank of the City of Buenos Aires),,,,
Banco Galicia,,,https://www.bancogalicia.com/banca/online/web/Eminent,
IRSA Propiedades Comerciales (IRSA Commercial Properties),,,https://www.irsa.com.ar,
Organizacion Roman,,,,
Private investor,,,,
IDB - Inter-American Development Bank,,,https://bidlab.org/en,
Spectrum Health,,,,
Arbor Circle,,,,
Cherry Health,,,,
Grand Rapids Kent County Health Department,,,,
Michigan Department of Health and Human Services,,,,
The Youth Policy Lab,,,,
Michigan State University,,,,
State of Michigan,US,,,Government body
W.K. Kellogg Foundation,,,,
Federal Human Services Administration,,,,
Michigan Health Endowment Fund,,,,
Higher School of Economics (HSE),,,,
State Development Corporation VEB.RF (ex-Vnesheconombank),RU,,http://veb.ru/en,
Ministry of Education and Science of the Republic of Sakha (Yakutia),RU,,,Government body
The Far East and Baikal Region Development Fund,,,,
The Osborne Association and Friends of Island Academy,,,,
The Vera Institute of Justice,,,,
MDRC (Manpower Demonstration Research Corporation),,,https://www.mdrc.org,
New York City Department of Correction,US,,,Government body
Children's Investment Fund Foundation,GB,,,"Registered non-profit organisation, charity or foundation"
UBS Optimus Foundation,CH,"The UBS Optimus Foundation pursues social impact in a variety of ways, from traditional charitable giving to sustainable investing. At the UBS Optimus Foundation we are specifically focused on social returns – in particular, social outcomes that benefit vulnerable children. We are the only foundation linked to a global wealth manager staffed with philanthropy experts. With an approach that takes advantage of our unique network, we're taking a leading role in driving impactful philanthropy that delivers breakthrough solutions to pressing social issues.",http://www.ubs.com/optimus,"Registered non-profit organisation, charity or foundation"
Affinity Trust,,,,
Bradford District Council,GB,,,Government body
Social and Sustainable Capital (SASC),,,,
Rendiz,,,,
Instituut voor Positieve Gezondheid (Institute for Positive Health),,,,
Municipality of Venlo,NL,,,Government body
Rabobank Foundation,,,,
Municipality of Eindhoven,NL,,,Government body
"Various providers from private and non-profit sectors, focusing on employment and training services",,,,
Finnish Ministry of Economic Affairs and Employment,FI,,,Government body
European Investment Fund (EIF) / European Fund for Strategic Investments (EFSI),,,,
Others (including Sitra),,,,
Mother Teresa Middle School,,,,
Government of Sasketchewan,CA,,,Government body
The Mosaic Company Foundation,,,,
Surrey County Council,GB,,,Government body
Colorado Coalition for the Homeless,,,,
Mental Health Center for Denver,,,,
Corporation for Supportive Housing (project manager),,,,
Enterprise Community Partners,,,,
Colorado Access (managed care organization),,,,
"The City and County of Denver, Colorado",US,,,Government body
Living Cities Blended Catalyst Fund LLC,,,,
The Colorado Health Foundation,,,,
The Denver Foundation,,,,
The Ben and Lucy Ana Walton Fund of the Walton Family Foundation,,,,
The Northern Trust Company,,,,
The Benevolent Society,,,,
Westpac Institutional Bank,,,,
Commonwealth Bank of Australia,,,,
ARTD Consultants,,,,
Department of Family and Community Services NSW,AU,,,Government body
State of New South Wales Treasury,AU,,,Government body
Central and North West London NHS Foundation Trust,,,,
End of Life Care Incubator,,,,
Serco Group Plc. (operations and management),,,,
Fletcher Construction (design and construction),,,,
New Zealand Department of Corrections,NZ,,,Government body
SecureFuture Wiri Ltd. (SPV),,,,
John Laing Group PLC,,,,
InfraRed Capital Partners Limited,,,,
The Accident Compensation Corporation,,,,
Bank of New Zealand,,,,
Australia and New Zealand Banking Group Ltd,,,,
EGADZ Saskatoon Downtown Youth Center,,,,
Saskatchewan,,,,
Executive Council & Ministry of Social Serivces (intermediary),,,,
"Government of Sasketchewan (Ministries of Health, Education, and Social Services)",CA,,,Government body
Conexus Credit Union,,,,
Wally and Colleen Mah,,,,
Nottingham & Nottinghamshire Futures Ltd,,,,
Nottingham City Council,GB,,,Government body
Hindustan Latex Family Planning Promotion Trust (HLFPPT),IN,,,"Registered non-profit organisation, charity or foundation"
Mathematica,,,,
Palladium,,,,
Reed Smith,,,,
Phoenix Legal,,,,
Merck for Mothers,US,,,"Registered company, partnership or commercial association"
La Familia Counseling Services,,,,
WestEd,,,,
Government Performance Lab - Harvard Kennedy School,,,,
Nonprofit Finance Fund (transaction coordinator),,,,
BOSS (fiscal manager),,,,
Alameda County,US,,https://www.acgov.org,Government body
CA Board of State and Community Corrections,US,,,Government body
Social Innovation Fund,,,,
Life Without Barriers,,,,
National Australia Bank,,,,
Queensland Government,AU,,,Government body
Undisclosed,,,,
Chicago public elementary schools,,,,
SRI International (Stanford Research Institute),,,https://www.sri.com,
IFF (Illinois Facilities Fund),,,,
Chicago Board of Education,US,,,Government body
City of Chicago,US,,,Government body
J.B. and M.K. Pritzker Family Foundation,,,,
Interface Children & Family Services,,,,
University of California Los Angeles (Dr. David Farabee),,,,
Wilmington Trust (fiscal agent),,,,
Ventura County,US,,,Government body
California Board of State and Community Corrections,,,,
The Whitney Museum of American Art,,,,
St. Giles Trust,,,,
Ormiston Children and Families Trust,,,,
SOVA (Supporting others through voluntary action),,,,
Friends Provident Foundation,,,,
The Henry Smith Charity,,,,
Johansson Family Foundation,,,,
The Monument Trust,,,,
Lankelly Chase Foundation,,,,
Panahpur Charitable Trust,,,,
Paul Hamlyn Foundation,,,,
Apprentis d'Auteuil,,,,
Action Inc.,,,,
Boston Public Health Commission,,,,
Commonwealth Land Trust Inc.,,,,
Eliot Human Services,,,,
Father Bill's & Mainspring,,,,
Friends of the Homeless,,,,
Heading Home Inc.,,,,
Hearth,,,,
HomeStart Inc.,,,,
Housing Assistance Corporation/Duffy Health Center,,,,
Lynn Shelter Association,,,,
Mental Health Associates,,,,
Pine Street Inn,,,,
South Middlesex Opportunity Council,,,,
Massachusetts Housing and Shelter Alliance (MHSA),,,,
United Way of Massachusetts Bay,,,,
Merrimack Valley (UWMB),,,,
Root Cause Institute,,,,
Massachusetts Alliance for Supportive Housing (MASH),,,,
United Way of Massachusetts Bay and Merrimack Valley,,,,
